년,월,업종코드,업종명,매출액
2020,7,3405,실내장식(인테리어),121826879
2020,7,3501,중고품판매점,53040939
2020,7,3503,기타장비임대,200055282
2020,7,3504,기타수리.수선전문,280508992
2020,7,3601,기타부동산관련업,6659010
2020,7,3602,부동산중개,8440000
2020,7,3801,웨딩토탈서비스,57082400
2020,7,3802,예식장,185168923
2020,7,3803,기타가례서비스,35814700
2020,7,4101,종합병원,2260133377
2020,7,4102,일반병원,992230074
2020,7,4103,한방병원,269048117
2020,7,4104,요양병원,722331051
2020,7,4201,치과,5814033793
2020,7,4202,내과,1165313316
2020,7,4203,신경정신과,283916051
2020,7,4204,외과,375162090
2020,7,4205,성형외과,490208681
2020,7,4206,산부인과,451183947
2020,7,4207,안과,415627740
2020,7,4208,이비인후과,80187930
2020,7,4209,피부과,1161176029
2020,7,4211,기타의료업,871014971
2020,7,4212,한의원,1026999613
2020,7,4214,소아과,150214820
2020,7,4215,정형외과,1698924150
2020,7,4401,의약품판매,280854171
2020,7,4402,약국,3343983559
2020,7,4403,한약방,74079892
2020,7,4501,기타약품.의료기기,449327496
2020,7,4601,산후조리원,781785557
2020,7,5102,대형할인점,1884920
2020,7,5103,기타상설할인.아울렛,92048053
2020,7,5201,슈퍼마켓.마트,8742398968
2020,7,5202,편의점,3862717373
2020,7,5203,소비조합(구내매점),458351906
2020,7,5204,농수축협직판장,1607771780
2020,7,5205,농협식품전문점,1826183880
2020,7,5206,체인스토어,664542304
2020,7,5301,기타,180474716
2020,7,5302,기타종합소매점,71930090
2020,7,5402,비료.사료.종자,35154720
2020,7,5501,인터넷상거래,569000
2020,7,5602,통신.방문판매,409729720
2020,7,6101,호텔(특급),34826550
2020,7,6102,호텔(특급외),140011285
2020,7,6103,기타숙박업소,59990688
2020,7,6104,레저용숙박업소,3094900
2020,7,6201,여행사,2800000
2020,7,6202,여행지원서비스,500000
2020,7,6203,"수집품,기념품",1716500
2020,7,6204,차량임대(렌터카),8861000
2020,7,6205,선물용품점,9316000
2020,7,6404,오토바이,70045440
2020,7,6501,차량부품.용품,658988149
2020,7,6502,자동차정비,1732523805
2020,7,6504,타이어판매점,481699539
2020,7,6601,주유소,5844770215
2020,7,6602,주유소(LPG),410422466
2020,7,6603,기타연료판매,43826404
2020,7,6604,전기차충전소,10000
2020,7,6701,주차장.폐차장,85094152
2020,7,6702,세차장,89985111
2020,7,6703,차량견인서비스,340000
2020,7,6705,고속도로통행카드,800
2020,7,7101,유치원,39027900
2020,7,7103,대학교.대학원,2981200
2020,7,7201,"입시학원,보습학원",7271479536
2020,7,7202,외국어학원,2810289221
2020,7,7204,무술도장 등(학원),771845985
2020,7,7205,예체능계열학원,1338678613
2020,7,7210,자동차운전학원,383229048
2020,7,7211,기술.직업훈련학원,294638730
2020,7,7213,기타교육.교습.학원,2940645119
2020,7,7301,요양.보육.복지시설,90134619
2020,7,7303,교육및교구,98193870
2020,7,8101,서적(출판),857664271
2020,7,8102,"문구,사무용품",375138698
2020,7,8103,비디오.음반,669300
2020,7,8104,악기판매점,93533640
2020,7,8105,"기타레저,스포츠용품",611876216
2020,7,8106,자전거,482766361
2020,7,8107,카메라.캠코더,20975825
